,SK_ID_CURR,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,AGE,YEARS_EMPLOYED,YEARS_REGISTRATION,YEARS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,YEARS_LAST_PHONE_CHANGE,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,NAME_CONTRACT_TYPE_LE,CODE_GENDER_LE,FLAG_OWN_CAR_LE,FLAG_OWN_REALTY_LE,NAME_TYPE_SUITE_LE,NAME_INCOME_TYPE_LE,NAME_EDUCATION_TYPE_LE,NAME_FAMILY_STATUS_LE,NAME_HOUSING_TYPE_LE,OCCUPATION_TYPE_LE,WEEKDAY_APPR_PROCESS_START_LE,ORGANIZATION_TYPE_LE,TARGET
78297,155748,0,9.0,31.0,1.0,31.0,0.0084739999999999,53.0,14.0,1.0,8.0,1,1,0,1,0,0,1.0,2,2,14,0,0,0,0,0,0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1,6,7,4,4,1,11,1,28,1
49113,383373,1,14.0,30.0,2.0,24.0,0.0228,40.0,4.0,12.0,14.0,1,1,0,1,0,0,3.0,2,2,11,0,0,0,0,0,0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,0,1,0,1,6,7,4,1,1,16,5,51,0
10595,301488,1,20.0,25.0,3.0,23.0,0.005313,34.0,2.0,11.0,11.0,1,1,0,1,0,0,3.0,2,2,15,0,0,0,0,0,0,1.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,1,1,1,6,7,2,1,1,4,6,5,0
48967,192080,0,10.0,26.0,1.0,24.0,0.008068,62.0,-1001.0,10.0,11.0,1,0,0,1,0,0,1.0,3,3,11,0,0,0,0,0,0,7.0,0.0,7.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,3,4,4,1,17,2,57,1
670,334906,0,18.0,68.0,4.0,68.0,0.009334,38.0,5.0,24.0,3.0,1,1,0,1,0,0,2.0,2,2,13,0,0,0,0,0,0,5.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,6,1,4,1,1,18,4,51,1
65849,407764,0,12.0,28.0,2.0,23.0,0.0096569999999999,27.0,3.0,12.0,4.0,1,1,0,1,0,0,1.0,2,2,16,0,0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0.0062868414677756,0.0069789708036775,0.0355754478653577,0.2645779741374338,0.2627669023751571,1.9065625396532435,0,1,1,1,6,7,4,3,1,4,1,5,1
42497,296323,0,11.0,45.0,3.0,45.0,0.030755,51.0,9.0,5.0,6.0,1,1,0,1,0,0,1.0,2,2,12,0,0,0,0,1,1,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,6,1,4,3,1,14,4,43,1
66211,444734,0,18.0,70.0,4.0,65.0,0.018634,56.0,32.0,20.0,10.0,1,1,0,1,1,0,2.0,2,2,14,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1,1,6,1,4,1,1,8,1,4,1
75325,125377,2,22.0,134.0,6.0,123.0,0.0096569999999999,26.0,2.0,2.0,6.0,1,1,0,1,0,0,4.0,2,2,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,6,7,4,1,1,4,5,42,1
52775,191427,1,14.0,20.0,2.0,18.0,0.018634,40.0,1.0,3.0,6.0,1,1,0,1,0,0,2.0,2,2,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,1,1,6,1,4,3,1,4,5,54,1
31544,259680,0,20.0,62.0,4.0,53.0,0.0096569999999999,43.0,12.0,0.0,13.0,1,1,0,1,0,0,2.0,2,2,15,0,0,0,1,1,0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,1,6,1,4,1,1,14,0,51,1
47513,193337,0,16.0,45.0,4.0,45.0,0.072508,41.0,2.0,14.0,9.0,1,1,1,1,1,0,2.0,1,1,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0,0,0,0,6,1,4,1,1,14,1,5,0
74161,144927,1,11.0,18.0,1.0,18.0,0.030755,32.0,2.0,11.0,11.0,1,1,0,1,0,0,3.0,2,2,13,0,0,0,0,0,0,5.0,1.0,5.0,0.0,2.0,0.0062868414677756,0.0069789708036775,0.0355754478653577,0.2645779741374338,0.2627669023751571,1.9065625396532435,1,1,1,1,6,7,4,1,1,8,5,5,1
60515,370044,0,36.0,85.0,3.0,69.0,0.032561,44.0,12.0,28.0,11.0,1,1,0,1,0,0,2.0,1,1,19,0,0,0,0,0,0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,6,7,4,1,4,8,0,5,1
54825,414037,1,9.0,23.0,2.0,18.0,0.008068,49.0,4.0,3.0,3.0,1,1,0,1,0,0,3.0,3,3,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0,1,0,1,6,4,4,1,1,17,1,41,0
50844,368729,0,8.0,11.0,1.0,10.0,0.015221,67.0,-1001.0,16.0,13.0,1,0,0,1,1,0,2.0,2,2,7,0,0,0,0,0,0,1.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,6,3,4,1,1,17,6,57,1
11672,331417,0,44.0,124.0,6.0,124.0,0.006305,38.0,4.0,11.0,12.0,1,1,0,1,0,0,2.0,3,3,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1,1,1,1,6,4,1,1,1,10,5,33,1
37907,212815,0,14.0,40.0,2.0,40.0,0.0196889999999999,47.0,12.0,27.0,2.0,1,1,0,1,0,0,2.0,2,2,16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,1,0,0,1,6,7,4,1,1,8,0,39,1
26682,263966,1,22.0,35.0,2.0,25.0,0.010276,40.0,3.0,7.0,13.0,1,1,0,1,0,0,3.0,2,2,11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1,1,0,6,1,4,1,1,4,5,5,1
17110,233297,0,25.0,122.0,3.0,122.0,0.035792,41.0,2.0,7.0,7.0,1,1,0,1,0,0,2.0,2,2,16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,1,1,6,1,4,1,1,14,2,42,1
58214,315888,2,5.0,33.0,1.0,23.0,0.018029,37.0,-1001.0,21.0,5.0,1,0,0,1,1,1,4.0,3,3,6,0,0,0,0,0,0,2.0,0.0,2.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1,6,3,4,1,1,17,2,57,1
96905,312380,0,14.0,30.0,2.0,22.0,0.009175,60.0,-1001.0,27.0,13.0,1,0,0,1,0,0,2.0,2,2,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,7.0,0,0,0,1,6,3,4,1,5,17,4,57,1
81752,352209,0,12.0,68.0,3.0,61.0,0.022625,52.0,3.0,2.0,6.0,1,1,0,1,0,0,1.0,2,2,13,0,0,0,0,0,0,5.0,2.0,5.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,7,7,1,2,1,6,6,5,0
56092,281040,0,22.0,58.0,3.0,54.0,0.00963,64.0,-1001.0,3.0,12.0,1,0,0,1,1,0,1.0,2,2,14,0,0,0,0,0,0,7.0,2.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0,1,6,3,4,3,1,17,5,57,1
10701,324604,0,11.0,28.0,2.0,22.0,0.019101,66.0,-1001.0,15.0,12.0,1,0,0,1,0,0,2.0,2,2,10,0,0,0,0,0,0,3.0,1.0,3.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,1,6,3,4,0,1,17,1,57,1
36078,440004,0,27.0,18.0,1.0,18.0,0.00712,23.0,0.0,9.0,2.0,1,1,0,1,0,0,2.0,2,2,14,0,1,1,0,1,1,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1,1,0,0,6,7,4,1,5,8,0,5,0
18359,203664,2,14.0,27.0,1.0,27.0,0.00712,23.0,1.0,13.0,3.0,1,1,0,1,0,0,4.0,2,2,15,0,0,0,0,0,0,9.0,1.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1,1,0,0,6,1,4,1,1,8,5,5,1
95616,264220,1,5.0,9.0,1.0,9.0,0.019101,30.0,1.0,14.0,5.0,1,1,0,1,0,0,3.0,2,2,12,0,0,0,0,1,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,6,4,1,1,5,0,4,11,1
87547,396764,0,22.0,112.0,4.0,112.0,0.018209,29.0,9.0,2.0,9.0,1,1,0,1,0,1,2.0,3,3,11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,6,4,1,0,1,11,6,30,1
61401,280062,0,14.0,40.0,2.0,40.0,0.0038179999999999,61.0,1.0,34.0,11.0,1,1,0,1,1,0,1.0,2,2,7,0,0,0,0,0,0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,6,1,4,4,1,17,1,30,1
53413,424210,0,22.0,111.0,5.0,94.0,0.035792,47.0,9.0,28.0,2.0,1,1,0,1,0,0,2.0,2,2,14,0,0,0,0,0,0,2.0,1.0,2.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,6,1,4,1,1,14,2,42,1
80024,372892,1,14.0,32.0,3.0,32.0,0.01885,33.0,12.0,7.0,13.0,1,1,0,1,0,0,2.0,2,2,13,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,3.0,0,0,0,0,6,7,4,2,1,17,6,5,1
73560,303831,1,27.0,198.0,5.0,198.0,0.010966,36.0,10.0,1.0,12.0,1,1,0,1,0,0,3.0,2,2,13,0,0,0,1,1,0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,7,3,0,5,4,2,42,1
60349,257417,0,9.0,101.0,4.0,90.0,0.035792,39.0,6.0,2.0,11.0,1,1,1,1,0,0,2.0,2,2,14,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0,1,6,7,4,1,1,17,6,51,1
29691,410862,0,11.0,15.0,1.0,14.0,0.00733,24.0,3.0,5.0,3.0,1,1,0,1,0,0,2.0,2,2,17,0,0,0,1,1,0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0,1,6,4,4,1,1,3,5,31,0
40924,223395,2,8.0,12.0,1.0,11.0,0.030755,34.0,4.0,11.0,8.0,1,1,1,1,1,0,4.0,2,2,12,0,0,0,1,1,1,6.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7,4,1,1,14,4,5,0
3427,415781,2,9.0,14.0,1.0,14.0,0.04622,31.0,5.0,2.0,10.0,1,1,1,1,0,0,4.0,1,1,15,0,0,0,0,1,1,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,5,7,1,1,1,6,2,5,1
99867,147430,0,11.0,100.0,4.0,92.0,0.005144,32.0,3.0,15.0,11.0,1,1,1,1,0,0,2.0,2,2,17,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1,0,5,7,4,1,1,8,1,42,1
64676,101891,0,16.0,162.0,4.0,135.0,0.01885,60.0,-1001.0,22.0,12.0,1,0,0,1,0,0,2.0,2,2,14,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,6,3,4,1,1,17,4,57,1
23852,206044,0,7.0,16.0,1.0,16.0,0.035792,59.0,-1001.0,6.0,13.0,1,0,0,1,1,0,2.0,2,2,11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,1,1,6,3,1,1,1,17,1,57,1
85698,116769,0,8.0,22.0,2.0,22.0,0.0105,36.0,6.0,19.0,11.0,1,1,1,1,1,0,2.0,3,3,10,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,6,7,4,1,1,14,0,5,0
39762,226404,0,45.0,31.0,2.0,22.0,0.04622,45.0,15.0,4.0,12.0,1,1,0,1,0,0,2.0,1,1,17,0,0,0,0,0,0,4.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,6,1,1,0,1,3,6,3,1
62734,324898,2,19.0,108.0,3.0,90.0,0.007114,31.0,1.0,0.0,5.0,1,1,0,1,0,0,4.0,2,2,16,0,0,0,0,0,0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,1,6,7,4,1,1,14,6,5,1
97937,196638,0,9.0,94.0,3.0,68.0,0.007305,54.0,6.0,22.0,9.0,1,1,0,1,0,0,1.0,3,3,9,0,0,0,0,0,0,7.0,2.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1,6,1,4,4,1,14,4,5,1
2894,201842,0,11.0,79.0,2.0,57.0,0.010006,63.0,-1001.0,8.0,12.0,1,0,0,1,0,0,1.0,2,2,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,0.0062868414677756,0.0069789708036775,0.0355754478653577,0.2645779741374338,0.2627669023751571,1.9065625396532435,0,0,0,0,6,3,4,4,1,17,1,57,1
79389,356126,0,8.0,18.0,1.0,18.0,0.010643,26.0,3.0,24.0,1.0,1,1,0,1,0,0,2.0,2,2,17,0,0,0,1,1,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1,1,6,7,1,1,1,3,0,5,1
67526,320091,2,11.0,22.0,1.0,22.0,0.01885,28.0,8.0,7.0,7.0,1,1,0,1,0,0,4.0,2,2,13,0,0,0,1,1,0,8.0,1.0,8.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0,0,0,1,0,1,4,1,1,14,2,5,1
85778,324504,2,22.0,9.0,1.0,7.0,0.010643,32.0,4.0,3.0,11.0,1,1,0,1,0,0,4.0,2,2,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,1,6,1,1,1,1,3,6,5,1
59333,112532,0,25.0,159.0,4.0,159.0,0.018209,32.0,1.0,5.0,11.0,1,1,0,1,1,1,2.0,3,3,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,6,1,1,1,1,10,3,5,1
70465,253770,2,32.0,68.0,5.0,68.0,0.035792,39.0,7.0,9.0,11.0,1,1,1,1,1,0,4.0,2,2,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0,1,1,0,6,1,1,1,1,17,0,5,0
50267,299702,0,10.0,27.0,1.0,22.0,0.035792,54.0,15.0,15.0,9.0,1,1,1,1,0,0,2.0,2,2,12,0,0,0,0,0,0,1.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,1,1,7,4,1,1,8,2,5,1
95568,179684,0,18.0,55.0,3.0,45.0,0.008625,49.0,17.0,4.0,3.0,1,1,0,1,0,0,2.0,2,2,18,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1,1,1,1,7,4,1,1,8,1,5,0
15427,260585,2,22.0,110.0,4.0,99.0,0.031329,39.0,5.0,5.0,13.0,1,1,1,1,1,0,4.0,2,2,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,0.0062868414677756,0.0069789708036775,0.0355754478653577,0.2645779741374338,0.2627669023751571,1.9065625396532435,0,1,1,1,6,7,1,1,1,10,1,5,0
41044,111435,0,11.0,31.0,2.0,22.0,0.001417,38.0,3.0,2.0,12.0,1,1,1,1,0,1,2.0,2,2,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0,1,1,0,6,7,4,1,1,4,0,11,0
12783,100009,1,17.0,156.0,4.0,140.0,0.035792,38.0,9.0,3.0,2.0,1,1,0,1,1,0,3.0,2,2,16,0,0,0,0,0,0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,0,0,1,1,6,1,1,1,1,0,3,5,1
65188,392693,1,8.0,48.0,2.0,34.0,0.04622,27.0,8.0,12.0,7.0,1,1,0,1,0,0,3.0,1,1,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,4,4,0,5,6,6,11,1
22341,445692,1,18.0,45.0,2.0,37.0,0.011703,35.0,11.0,17.0,11.0,1,1,0,1,0,0,3.0,2,2,11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,1,6,1,1,1,1,17,1,28,1
9726,209655,0,9.0,108.0,3.0,90.0,0.015221,54.0,18.0,22.0,8.0,1,1,1,1,1,0,2.0,2,2,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0,1,0,1,6,7,4,1,1,4,2,4,1
89982,142919,0,8.0,76.0,3.0,68.0,0.0116569999999999,61.0,-1001.0,1.0,12.0,1,0,0,1,0,0,2.0,1,1,11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,1,6,3,4,1,1,17,5,57,1
5451,421600,0,16.0,19.0,2.0,18.0,0.0084739999999999,28.0,0.0,8.0,8.0,1,1,1,1,0,0,2.0,2,2,13,1,1,0,1,1,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,6,1,4,1,4,0,5,38,1
36365,297448,1,21.0,147.0,4.0,128.0,0.00496,29.0,8.0,3.0,8.0,1,1,0,1,0,0,3.0,2,2,10,0,0,0,0,0,0,2.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0,1,0,0,6,4,2,1,1,17,5,31,1
15745,162627,2,11.0,40.0,2.0,40.0,0.030755,40.0,0.0,24.0,12.0,1,1,0,1,0,0,4.0,2,2,10,0,0,0,0,0,0,3.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1,1,1,1,6,7,4,1,1,8,0,42,1
29238,291111,0,10.0,60.0,3.0,45.0,0.011703,35.0,0.0,26.0,0.0,1,1,0,1,0,1,2.0,2,2,10,0,0,0,1,1,0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,1,1,1,4,1,1,17,4,5,1
24004,265149,1,37.0,84.0,4.0,68.0,0.0088659999999999,49.0,7.0,22.0,1.0,1,1,0,1,0,0,2.0,2,2,11,0,0,0,0,0,0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,6,7,4,4,1,10,4,5,1
71344,256690,1,9.0,119.0,4.0,90.0,0.014464,50.0,1.0,27.0,5.0,1,1,1,1,1,0,3.0,2,2,3,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,7,4,1,1,15,2,30,1
67481,224884,0,14.0,22.0,1.0,22.0,0.010556,26.0,3.0,12.0,4.0,1,1,1,1,1,1,2.0,3,3,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,6,1,2,0,1,3,5,46,1
97929,436667,0,20.0,18.0,1.0,18.0,0.026392,41.0,4.0,1.0,2.0,1,1,1,1,1,0,1.0,2,2,19,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,1,0,1,6,7,4,3,1,8,0,5,0
85396,309743,2,22.0,84.0,4.0,68.0,0.0084739999999999,33.0,5.0,17.0,12.0,1,1,0,1,0,0,4.0,2,2,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1,0,6,7,1,1,1,17,0,22,1
66987,444500,0,22.0,47.0,5.0,47.0,0.019101,51.0,1.0,2.0,5.0,1,1,0,1,0,0,2.0,2,2,12,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0,1,6,7,4,1,1,14,4,3,1
44959,434515,0,9.0,81.0,2.0,68.0,0.031329,37.0,4.0,1.0,11.0,1,1,1,1,1,0,2.0,2,2,11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,6,4,4,1,1,3,6,28,1
